CUENTA_CREDITO|SITUACION_CREDITO|SALDO_PRINCIPAL|INTERES_DEVENGADO|INTERESES_COBRADOS|COMISIONES_COBRADAS|SALDO_PROMEDIO|RESERVAS_CALIF|RESERVAS_ADIC|PORC_RESERVAS_417|MONEDA|FECHA_INFO
|2|340299.98|313889.96|299373.82|0.00|10977.42||||0|2026-01-31
|1|3419555.40|4956481.00|4915256.79|0.00|110308.24||||0|2026-01-31
|1|6285967.30|2263421.08|2238915.88|0.00|202773.14||||0|2026-01-31
|0|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|87858.95|76503.28|74931.49|0.00|2928.63||||0|2026-01-31
|0|38276.46|37363.00|36674.25|0.00|1275.88||||0|2026-01-31
|1|117443.45|218956.71|217449.32|0.00|3788.50||||0|2026-01-31
|1|852336.46|537860.95|528563.08|0.00|27494.72||||0|2026-01-31
|1|697676.13|894248.19|894248.19|0.00|23255.87||||0|2026-01-31
|1|2489874.73|1731666.96|1698240.10|0.00|82995.82||||0|2026-01-31
|2|1112318.70|702752.01|664543.33|0.00|37077.29||||0|2026-01-31
|1|765021.19|1178220.76|1104161.45|0.00|25500.71||||0|2026-01-31
|1|584042.19|254717.61|246000.82|0.00|19468.07||||0|2026-01-31
|0|36566.58|2522.33|2083.32|0.00|1218.89||||0|2026-01-31
|1|1107254.67|1609298.25|1534051.41|0.00|36908.49||||0|2026-01-31
|1|12269400.00|385586.68|340698.74|0.00|395787.10||||0|2026-01-31
|1|157266.58|212224.62|210442.27|0.00|5242.22||||0|2026-01-31
|1|3930262.82|1531055.89|1472396.89|0.00|131008.76||||0|2026-01-31
|1|13075354.83|11758661.80|11582144.31|0.00|435845.16||||0|2026-01-31
|1|136043.42|94404.26|92526.68|0.00|4534.78||||0|2026-01-31
|1|115715.70|82755.88|80772.72|0.00|3857.19||||0|2026-01-31
|2|415547.49|699200.04|668117.27|0.00|13851.58||||0|2026-01-31
|3|33604830.99|309245.08|306916.76|0.00|1084026.81||||0|2026-01-31
|1|331843.56|537226.82|508800.65|0.00|11061.45||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|516416.24|593919.51|587934.32|0.00|16658.59||||0|2026-01-31
|1|685834.85|493804.77|485856.80|0.00|22123.70||||0|2026-01-31
|1|145808.37|126674.43|124705.81|0.00|4860.28||||0|2026-01-31
|2|9392043.72|9443472.32|8484875.55|0.00|302969.15||||0|2026-01-31
|1|26077498.51|747103.97|651458.35|0.00|841209.63||||0|2026-01-31
|0|167829.64|27168.84|25155.11|0.00|5594.32||||0|2026-01-31
|1|146955.26|95434.79|93296.32|0.00|4898.51||||0|2026-01-31
|1|470493.85|252039.76|247465.17|0.00|15177.22||||0|2026-01-31
|1|1580250.00|1437777.37|1410245.56|0.00|52675.00||||0|2026-01-31
|1|29761681.60|5798179.58|5664004.80|0.00|960054.25||||0|2026-01-31
|2|1894912.79|1243842.67|1199166.12|0.00|63163.76||||0|2026-01-31
|1|14986400.01|449373.84|396883.52|0.00|483432.26||||0|2026-01-31
|1|2556116.83|1453653.37|1417420.63|0.00|85203.89||||0|2026-01-31
